Index,Sentences,Sentiment
0,အန်ဒရီယာ မာစီ သည် အီတလီ အတွက် စမ်းသပ်မှု တစ်ခု အဖြစ် စတုတ္ထ မိနစ် တွင် အမှတ်ပေးခြင်း ကို ဖွင့်လှစ်ပေးခဲ့သည် ။,Positive
1,ပေါ်တူဂီ သည် ဘယ်သောအခါမှ စွန့်လွှတ်မှု မရှိခဲ့ ပဲ ဒေးဗစ် ပန်နယ်ဗါ သည် ၃၃ မိနစ် တွင် သူတို့၏ ကစားပွဲ ရဲ့ အမှတ်များ ကို သာ အထောက်အကူပြု သည့် ကြိုးစားမှု တစ်ခု မှ အမှတ်ရခဲ့ပါသည်။,Positive
2,အီတလီ သည် ပထမပိုင်း ၌ ၁၆-၅ ဖြင့် ဦးဆောင်ခဲ့ သော်လည်း ပေါ်တူဂီ မှ ဒုတိယပိုင်း တော်တော်များများ တွင် ဂိုး အရေအတွက် ညီ စေ ခဲ့သည် ။,Positive
3,သို့သော်လည်း ဘော်တိုလပ်စီ သည် မော်ရို ဘာဂမ်မက်စကို ၏ ကြိုးစားမှုများ နှင့် အန်ဒရီယာ မာစီ ၏ ဒုတိယဂိုး နောက်ပိုင်း အီတလီ အတွက် အနိုင်ရရှိ စေရန် သူ၏ စတုတ္ထမြောက် ကစားပွဲ ၏ ပယ်နယ်လ်တီ ကို သွင်းယူပေးခဲ့သည် ။,Positive
4,နယူးဇီလန် သည် ရမှတ် ကွာခြားချက် အပေါ် စကော့တလန်၏ ရှေ့မှ ရမှတ် ဆယ်မှတ် နှင့်အတူ အုပ်စု ကို ဦးဆောင်နေသည် ။,Positive
5,အသေးစိတ်များကို မနေ့က ၁၇၃၀ ယူတီစီ ၌ အောက်လွှတ်တော် ရှိ ဗြိတိန်နိုင်ငံ ပို့ဆောင်ရေး အတွင်းရေးမှူး ရုသ်ကယ်လီ က ပေးခဲ့သည်။,Positive
6,လွှတ်တော်အမတ်များ သို့ သူမ၏ ကြေငြာချက် တွင် ရုသ်ကယ်လီ က ပျောက်ဆုံးခဲ့သော အချက်အလက်များ အတွင်း မည်သည့် ဘဏ်လုပ်ငန်း သတင်းအချက်အလက် မှ မပါ၀င် သကဲ့သို့ တစ်ဦးချင်းစီ ၏ မွေးသက္ကရာဇ်များ လည်း မပါ၀င်ကြောင်း အတည်ပြုသွားခဲ့သည် ။,Positive
7,သူမသည် လုံခြုံရေးရာ ဆောင်ရွက်မှုများ ရယူခဲ့ကြောင်း နှင့် သိမ်းဆည်းထားခဲ့သော သတင်းအချက်အလက်များ သည် စံသတ်မှတ်ထားသော နည်းလမ်းများ ဖြင့် အလွယ်တကူ အသုံးဝင်သော သို့မဟုတ် ဖတ်ရှုခွင့်ရသော ပုံစံ တစ်ခု အနေဖြင့် မဟုတ်ကြောင်း မီးမောင်းထိုးပြ ခဲ့သည် ။,Positive
8,လစ်ဘရယ် ဒီမိုကရက် ကို ကိုယ်စားပြုထားသော ဆူဇန် ကရာမား က အချက်အလက်များ စုဆောင်း ရန် ၊ အချက်အလက်များ ပိုမို ရရှိရန် ၊ သင့် အကြောင်း ပိုမိုသိရှိရန် ၊ ထိုမှတဆင့် အတူတကွ ပိုမို ဆက်သွယ် ရန် ဤကဲ့သို့ စဉ်ဆက်မပြတ် ကြိုးစားမှု သည် အားလုံး ကို နောက်ထပ် ထည့်သွင်း စဉ်းစား ခြင်း သို့မဟုတ် ဆွေးနွေးမှု တစ်ခု ဖြစ်ကြောင်း ကျွန်ုပ် ထင်မြင်သည် ဟု တင်ပြသွားခဲ့သည် ။,Positive
9,လူးဝတ် က ဆက်လက် မှတ်ချက်ပြုခဲ့သည် မှာ င်္သဘော အား အမှတ်အသားပြုခဲ့သည် မှာ အကောက်ခွန် မဟုတ်ခဲ့ကြောင်း ၊ သို့သော် သြစတြေးလျ ကုန်တင် င်္သဘော ဖြတ်သန်းခြင်း တစ်ခုသာ ဖြစ်ကြောင်း၊ သို့ရာတွင် အယ်လစ်ဆန် သည် လူးဝတ် ၏ စီးပွာဖြစ် ရေယာဉ်များ သြစတြေးလျ အတွက် ရှာဖွေခြင်း တွင် လုံးဝ အခွင့် မရှိသည် ကို စဉ်းစားပါ ဆိုသည့် တင်ပြခြင်း ကိစ္စ ကို ခုခံကာကွယ်ခဲ့ ပြီး အယ်လစ်ဆန် က ကျွန်တော်တို့၏ အရေးပေါ် အစီရင်ခံစာများ အပေါ် အားထား ပြီး မှ ထွက်ပါ သဘော ကို ရှာပါ ဟု ဆိုခဲ့သည် ။,Positive
10,နယူး ဟမ့်ရှား ကား ပြေးလမ်း မှာ ၂၀၁၀ လန်းနော့ အင်ဒတ်စ်ထရီရယ် တူး ၃၀၁ အတွင်း တနင်္ဂနွေနေ့ မှာ နက်စ်ကာ တာတို ဖလား ပွဲစဉ် ဒရိုင်ဘာ ဂျင်မီ ဂျွန်ဆန် ဟာ ပြိုင်ပွဲရာသီ ၏ သူရဲ့ ဒုတိယ ဆက်တိုက် ပြိုင်ပွဲ မှာ အနိုင်ရခဲ့ပါတယ် ။,Positive
11,ယူအက်စ် ရဲ့ ရှေ့ဆောင် အတတ်ပညာဆိုင်ရာ စတော့ ကား ပွဲစဉ် ၏ ၂၀၁၀ ပွဲ မှာ သူရဲ့ ငါးကြိမ်မြောက် အောင်ပွဲ ဖြစ်ပြီး အများဆုံး အောင်ပွဲတွေ အတွက် သူ့ကို ဒန်နီ ဟမ်လင် နဲ့ အဆင့်တူသွားစေပါတယ် ။,Positive
12,အမှတ် အဆင့်အတန်း မှာ ဟားဗစ် နှင့် ဂျွန်ဆန် ဟာ ပထမ နဲ့ ဒုတိယ နေရာ မှာ ရှိနေပါတယ် ။,Positive
